mirna_name,P-value,FDR,Bonferroni,A,B,observed_ratio,C,D,expected_ratio,foldchange_enrichment
hsa-let-7a-2-3p,0.9697978023027279,1.0,1.0,19,1352,0.014053254437869823,539,26380,0.020432145564821834,0.6878012097792319
hsa-let-7a-3p,0.9981727259579221,1.0,1.0,63,1352,0.04659763313609468,1698,26380,0.0643669446550417,0.723937315742154
hsa-let-7a-5p,0.9991512173715273,1.0,1.0,554,1352,0.40976331360946744,11888,26380,0.4506444275966641,0.9092829923467153
hsa-let-7b-3p,0.9820457284334404,1.0,1.0,88,1352,0.0650887573964497,2095,26380,0.07941622441243366,0.8195901766674669
hsa-let-7b-5p,0.9999999587435416,1.0,1.0,500,1352,0.3698224852071006,11593,26380,0.439461713419257,0.8415351643028822
hsa-let-7c-3p,0.9802550364315862,1.0,1.0,5,1352,0.0036982248520710057,203,26380,0.0076952236542835485,0.4805870522050893
hsa-let-7c-5p,0.9999999991441325,1.0,1.0,431,1352,0.3187869822485207,10432,26380,0.3954510993176649,0.8061350260463933
hsa-let-7d-3p,0.9999321102011938,1.0,1.0,20,1352,0.014792899408284023,796,26380,0.030174374526156178,0.4902470934554429
hsa-let-7d-5p,0.9999997816183612,1.0,1.0,471,1352,0.34837278106508873,10904,26380,0.4133434420015163,0.8428167612341381
hsa-let-7e-3p,0.9503582048980073,1.0,1.0,21,1352,0.015532544378698224,561,26380,0.021266110689916604,0.7303895199822801
hsa-let-7e-5p,0.9999998440439263,1.0,1.0,461,1352,0.34097633136094674,10725,26380,0.4065579984836998,0.8386905008206783
hsa-let-7f-1-3p,0.9095323236168678,1.0,1.0,36,1352,0.026627218934911243,856,26380,0.03244882486732373,0.8205911629707461
hsa-let-7f-2-3p,0.9980128130917733,1.0,1.0,119,1352,0.08801775147928995,2927,26380,0.11095526914329037,0.7932723894853668
hsa-let-7f-5p,0.9999924906358555,1.0,1.0,430,1352,0.3180473372781065,9828,26380,0.3725549658832449,0.8536923847574736
hsa-let-7g-3p,0.9405598430266262,1.0,1.0,111,1352,0.08210059171597633,2470,26380,0.09363153904473086,0.8768476151690104
hsa-let-7g-5p,0.999990130444363,1.0,1.0,471,1352,0.34837278106508873,10632,26380,0.4030326004548901,0.8643786648323025
hsa-let-7i-3p,0.9999793460569978,1.0,1.0,68,1352,0.05029585798816568,2041,26380,0.07736921910538287,0.6500758127034838
hsa-let-7i-5p,0.9999996948749189,1.0,1.0,475,1352,0.35133136094674555,10962,26380,0.4155420773313116,0.8454772214719164
hsa-miR-1-3p,0.9999909979930129,1.0,1.0,269,1352,0.1989644970414201,6503,26380,0.24651250947687642,0.8071172431112813
hsa-miR-100-3p,0.9999114659796419,1.0,1.0,22,1352,0.016272189349112426,841,26380,0.03188021228203184,0.5104165933764397
hsa-miR-100-5p,0.9874923630451751,1.0,1.0,40,1352,0.029585798816568046,1068,26380,0.04048521607278241,0.7307803115927576
hsa-miR-101-2-5p,1.0,1.0,1.0,0,1352,0.0,4,26380,0.00015163002274450342,0.0
hsa-miR-101-3p,0.998380184331534,1.0,1.0,325,1352,0.2403846153846154,7239,26380,0.2744124336618651,0.8759975347211153
hsa-miR-101-5p,0.6069907651112065,1.0,1.0,39,1352,0.028846153846153848,786,26380,0.02979529946929492,0.9681444509688786
hsa-miR-10393-5p,1.0,1.0,1.0,0,1352,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-10394-3p,0.14601272954161265,1.0,1.0,1,1352,0.0007396449704142012,3,26380,0.00011372251705837755,6.503944773175543
hsa-miR-10395-3p,1.0,1.0,1.0,0,1352,0.0,15,26380,0.0005686125852918878,0.0
hsa-miR-10399-3p,0.6960558343934595,1.0,1.0,6,1352,0.004437869822485207,135,26380,0.00511751326762699,0.8671926364234057
hsa-miR-10399-5p,0.9896294171373884,1.0,1.0,7,1352,0.005177514792899409,278,26380,0.010538286580742988,0.491305180707505
hsa-miR-103a-1-5p,0.998052084605889,1.0,1.0,12,1352,0.008875739644970414,468,26380,0.0177407126611069,0.5003034440904263
hsa-miR-103a-2-5p,0.985590242008048,1.0,1.0,40,1352,0.029585798816568046,1060,26380,0.0401819560272934,0.736295634699118
hsa-miR-103a-3p,0.99999996429005,1.0,1.0,402,1352,0.2973372781065089,9621,26380,0.36470811220621685,0.8152746488358491
hsa-miR-103b,0.999998638024963,1.0,1.0,21,1352,0.015532544378698224,947,26380,0.03589840788476118,0.43268059209087556
hsa-miR-10401-3p,0.2313159295854433,1.0,1.0,1,1352,0.0007396449704142012,5,26380,0.00018953752843062926,3.9023668639053253
hsa-miR-105-3p,0.9767541351658413,1.0,1.0,15,1352,0.011094674556213017,455,26380,0.017247915087187263,0.6432472852591196
hsa-miR-105-5p,0.6478688027814175,1.0,1.0,39,1352,0.028846153846153848,799,26380,0.030288097043214557,0.9523924135939155
hsa-miR-10522-5p,0.9251979297147651,1.0,1.0,4,1352,0.0029585798816568047,137,26380,0.005193328278999242,0.5696885932708504
hsa-miR-10527-5p,0.8716951124677381,1.0,1.0,1,1352,0.0007396449704142012,39,26380,0.0014783927217589083,0.5003034440904263
hsa-miR-106a-3p,0.3403837723969497,1.0,1.0,20,1352,0.014792899408284023,350,26380,0.013267626990144048,1.1149619611158073
hsa-miR-106a-5p,0.9993465906475806,1.0,1.0,389,1352,0.28772189349112426,8624,26380,0.32691432903714934,0.8801140480398723
hsa-miR-106b-3p,0.9999915774063782,1.0,1.0,27,1352,0.019970414201183433,1055,26380,0.03999241849886277,0.49935500154238766
hsa-miR-106b-5p,0.997299362618787,1.0,1.0,422,1352,0.3121301775147929,9143,26380,0.34658832448824867,0.9005790312632874
hsa-miR-107,0.9999999510482056,1.0,1.0,365,1352,0.26997041420118345,8841,26380,0.3351402577710387,0.8055445681062345
hsa-miR-10a-3p,0.9528817738026245,1.0,1.0,8,1352,0.005917159763313609,255,26380,0.009666413949962092,0.6121359786518158
hsa-miR-10a-5p,0.9999999999803095,1.0,1.0,104,1352,0.07692307692307693,3482,26380,0.13199393479909022,0.582777360491318
hsa-miR-10b-3p,0.12843409102433448,1.0,1.0,4,1352,0.0029585798816568047,38,26380,0.0014404852160727823,2.0538772967922765
hsa-miR-10b-5p,0.987292757605284,1.0,1.0,146,1352,0.10798816568047337,3350,26380,0.1269901440485216,0.850366510642056
hsa-miR-1179,0.8711926167999143,1.0,1.0,17,1352,0.01257396449704142,420,26380,0.01592115238817286,0.7897647224570301
hsa-miR-1180-3p,0.9999980408910601,1.0,1.0,44,1352,0.03254437869822485,1551,26380,0.0587945413191812,0.553527214738344
hsa-miR-1182,0.9364049720463083,1.0,1.0,2,1352,0.0014792899408284023,85,26380,0.0032221379833206974,0.4591019839888618
hsa-miR-1185-1-3p,0.37655625517338304,1.0,1.0,11,1352,0.008136094674556213,189,26380,0.007164518574677786,1.1356094048401741
hsa-miR-1185-2-3p,1.0,1.0,1.0,0,1352,0.0,17,26380,0.0006444275966641395,0.0
hsa-miR-1185-5p,0.8906348122632288,1.0,1.0,17,1352,0.01257396449704142,429,26380,0.016262319939347993,0.7731962317761134
hsa-miR-1197,0.6792600600460283,1.0,1.0,17,1352,0.01257396449704142,362,26380,0.013722517058377558,0.916301611690477
hsa-miR-12135,0.7709651667183798,1.0,1.0,1,1352,0.0007396449704142012,28,26380,0.0010614101592115238,0.6968512256973796
hsa-miR-12136,1.0,1.0,1.0,0,1352,0.0,16,26380,0.0006065200909780137,0.0
hsa-miR-122-3p,1.0,1.0,1.0,0,1352,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-122-5p,0.9999999999854603,1.0,1.0,70,1352,0.051775147928994084,2640,26380,0.10007581501137225,0.5173592433207818
hsa-miR-1224-3p,1.0,1.0,1.0,0,1352,0.0,7,26380,0.00026535253980288095,0.0
hsa-miR-1224-5p,0.930223962138366,1.0,1.0,7,1352,0.005177514792899409,216,26380,0.008188021228203184,0.6323279640587334
hsa-miR-1225-3p,0.9971472854526586,1.0,1.0,6,1352,0.004437869822485207,286,26380,0.010841546626231994,0.40933918152853066
hsa-miR-1225-5p,0.8670336162362318,1.0,1.0,57,1352,0.04215976331360947,1268,26380,0.04806671721000758,0.8771092714613704
hsa-miR-1226-3p,0.9915768215293148,1.0,1.0,8,1352,0.005917159763313609,312,26380,0.011827141774071267,0.5003034440904263
hsa-miR-1226-5p,0.6011710762180699,1.0,1.0,11,1352,0.008136094674556213,224,26380,0.00849128127369219,0.9581704353338969
hsa-miR-1229-3p,0.7709651667183798,1.0,1.0,1,1352,0.0007396449704142012,28,26380,0.0010614101592115238,0.6968512256973796
hsa-miR-122b-5p,0.9014135172770139,1.0,1.0,1,1352,0.0007396449704142012,44,26380,0.0016679302501895375,0.44345077998924154
hsa-miR-1234-3p,0.29072888942453423,1.0,1.0,9,1352,0.006656804733727811,140,26380,0.00530705079605762,1.254332206255283
hsa-miR-1236-3p,0.9487890139473729,1.0,1.0,2,1352,0.0014792899408284023,90,26380,0.003411675511751327,0.4335963182117028
hsa-miR-1237-3p,1.0,1.0,1.0,0,1352,0.0,18,26380,0.0006823351023502654,0.0
hsa-miR-124-3p,0.7768214204909702,1.0,1.0,379,1352,0.28032544378698226,7627,26380,0.2891205458680819,0.969579809505781
hsa-miR-124-5p,0.9942926957148014,1.0,1.0,21,1352,0.015532544378698224,660,26380,0.025018953752843062,0.6208310919849381
hsa-miR-1244,0.8782805954768728,1.0,1.0,1,1352,0.0007396449704142012,40,26380,0.001516300227445034,0.48779585798816566
hsa-miR-1246,0.8526619673357216,1.0,1.0,19,1352,0.014053254437869823,456,26380,0.01728582259287339,0.8129930966469429
hsa-miR-1247-5p,0.7127239657611308,1.0,1.0,2,1352,0.0014792899408284023,48,26380,0.0018195602729340408,0.8129930966469429
hsa-miR-1248,0.07565309394178003,1.0,1.0,6,1352,0.004437869822485207,58,26380,0.0021986353297952996,2.018465619261375
hsa-miR-1249-3p,0.9821858139099582,1.0,1.0,6,1352,0.004437869822485207,234,26380,0.00887035633055345,0.5003034440904263
hsa-miR-1250-5p,0.8318814222101268,1.0,1.0,4,1352,0.0029585798816568047,112,26380,0.004245640636846095,0.6968512256973796
hsa-miR-1251-5p,0.657689609657291,1.0,1.0,4,1352,0.0029585798816568047,87,26380,0.0032979529946929494,0.8970958307828334
hsa-miR-1252-5p,1.0,1.0,1.0,0,1352,0.0,2,26380,7.581501137225171e-05,0.0
hsa-miR-1255a,0.9800143134856462,1.0,1.0,12,1352,0.008875739644970414,387,26380,0.014670204700530706,0.6050181184349341
hsa-miR-125a-3p,0.9999999978426309,1.0,1.0,68,1352,0.05029585798816568,2413,26380,0.09147081122062169,0.5498569141018693
hsa-miR-125a-5p,0.9999998763164222,1.0,1.0,45,1352,0.03328402366863906,1677,26380,0.06357088703563306,0.5235733717225393
hsa-miR-125b-1-3p,0.9999999710471591,1.0,1.0,53,1352,0.03920118343195266,1936,26380,0.07338893100833965,0.5341566213506773
hsa-miR-125b-2-3p,0.8835931176859829,1.0,1.0,42,1352,0.03106508875739645,965,26380,0.03658074298711145,0.8492197320415734
hsa-miR-125b-5p,0.998463503819194,1.0,1.0,70,1352,0.051775147928994084,1866,26380,0.07073540561031084,0.7319551995535176
hsa-miR-126-3p,0.8930372526086992,1.0,1.0,51,1352,0.03772189349112426,1162,26380,0.04404852160727824,0.8563713857967796
hsa-miR-126-5p,0.9999509761978638,1.0,1.0,33,1352,0.02440828402366864,1149,26380,0.043555724033358605,0.5603921083937151
hsa-miR-1260a,0.7925004288080357,1.0,1.0,4,1352,0.0029585798816568047,105,26380,0.003980288097043215,0.7433079740772047
hsa-miR-1260b,0.8977575040680084,1.0,1.0,5,1352,0.0036982248520710057,153,26380,0.005799848369977255,0.6376416444289748
hsa-miR-1262,1.0,1.0,1.0,0,1352,0.0,102,26380,0.003866565579984837,0.0
hsa-miR-1263,1.0,1.0,1.0,0,1352,0.0,36,26380,0.0013646702047005307,0.0
hsa-miR-1264,0.8046583536406282,1.0,1.0,16,1352,0.011834319526627219,374,26380,0.014177407126611068,0.8347308799797488
hsa-miR-1266-5p,0.9999944057208234,1.0,1.0,24,1352,0.01775147928994083,987,26380,0.037414708112206214,0.47445189834715207
hsa-miR-1267,1.0,1.0,1.0,0,1352,0.0,6,26380,0.0002274450341167551,0.0
hsa-miR-1268a,0.9992731894283517,1.0,1.0,1,1352,0.0007396449704142012,137,26380,0.005193328278999242,0.1424221483177126
hsa-miR-1268b,0.9580377526340313,1.0,1.0,3,1352,0.0022189349112426036,125,26380,0.0047384382107657315,0.4682840236686391
hsa-miR-1269a,0.9398814809521862,1.0,1.0,25,1352,0.01849112426035503,641,26380,0.02429871114480667,0.7609919781406641
hsa-miR-1269b,0.9999870261164876,1.0,1.0,8,1352,0.005917159763313609,490,26380,0.018574677786201668,0.3185605603188021
hsa-miR-127-3p,0.47655521596706873,1.0,1.0,24,1352,0.01775147928994083,456,26380,0.01728582259287339,1.0269386483961382
hsa-miR-127-5p,0.9127021399431825,1.0,1.0,59,1352,0.04363905325443787,1348,26380,0.05109931766489765,0.8540046178427827
hsa-miR-1270,0.9571863867698257,1.0,1.0,46,1352,0.034023668639053255,1125,26380,0.04264594389689159,0.7978172255095332
hsa-miR-1271-3p,0.9036193888330916,1.0,1.0,30,1352,0.022189349112426034,722,26380,0.027369219105382866,0.8107410382074776
hsa-miR-1271-5p,0.5396574442675517,1.0,1.0,162,1352,0.11982248520710059,3176,26380,0.12039423805913571,0.9952509948876932
hsa-miR-1273h-3p,0.6042933350596554,1.0,1.0,5,1352,0.0036982248520710057,102,26380,0.003866565579984837,0.9564624666434621
hsa-miR-1273h-5p,0.9089639761227853,1.0,1.0,39,1352,0.028846153846153848,920,26380,0.034874905231235785,0.8271321070234114
hsa-miR-1275,0.9994146565907602,1.0,1.0,26,1352,0.019230769230769232,876,26380,0.033206974981046244,0.5791183702142607
hsa-miR-1276,0.9815932231131556,1.0,1.0,4,1352,0.0029585798816568047,176,26380,0.00667172100075815,0.44345077998924154
hsa-miR-1277-3p,0.37061528011840533,1.0,1.0,5,1352,0.0036982248520710057,78,26380,0.0029567854435178166,1.2507586102260657
hsa-miR-1277-5p,0.1841414722750538,1.0,1.0,3,1352,0.0022189349112426036,29,26380,0.0010993176648976498,2.018465619261375
hsa-miR-1278,0.3772264300883902,1.0,1.0,1,1352,0.0007396449704142012,9,26380,0.0003411675511751327,2.167981591058514
hsa-miR-128-1-5p,0.9998327134863428,1.0,1.0,59,1352,0.04363905325443787,1730,26380,0.06557998483699773,0.6654324999144919
hsa-miR-128-2-5p,0.8415953937849242,1.0,1.0,1,1352,0.0007396449704142012,35,26380,0.001326762699014405,0.5574809805579036
hsa-miR-128-3p,0.9971350307961994,1.0,1.0,191,1352,0.14127218934911243,4425,26380,0.1677407126611069,0.8422057299501888
hsa-miR-1282,0.9575864360669808,1.0,1.0,1,1352,0.0007396449704142012,60,26380,0.002274450341167551,0.32519723865877714
hsa-miR-1283,0.9852282664944404,1.0,1.0,3,1352,0.0022189349112426036,151,26380,0.005724033358605004,0.38765233747403893
hsa-miR-1284,0.29852511703665774,1.0,1.0,13,1352,0.009615384615384616,213,26380,0.008074298711144807,1.1908631274828458
hsa-miR-1285-3p,0.9999999989918082,1.0,1.0,107,1352,0.07914201183431953,3400,26380,0.1288855193328279,0.6140489035851027
hsa-miR-1285-5p,0.7007907803246466,1.0,1.0,11,1352,0.008136094674556213,242,26380,0.009173616376042457,0.8869015599784831
hsa-miR-1286,0.8842035371994342,1.0,1.0,3,1352,0.0022189349112426036,98,26380,0.0037149355572403337,0.5973010505977538
hsa-miR-1287-3p,0.5423225011818305,1.0,1.0,13,1352,0.009615384615384616,254,26380,0.009628506444275967,0.9986371895820715
hsa-miR-1287-5p,0.9999999032031391,1.0,1.0,33,1352,0.02440828402366864,1365,26380,0.05174374526156179,0.4717146758566877
hsa-miR-1288-3p,1.0,1.0,1.0,0,1352,0.0,13,26380,0.0004927975739196361,0.0
hsa-miR-129-1-3p,0.9006430627437315,1.0,1.0,26,1352,0.019230769230769232,633,26380,0.023995451099317666,0.8014339530927209
hsa-miR-129-2-3p,0.3044828900989992,1.0,1.0,135,1352,0.09985207100591716,2521,26380,0.09556482183472327,1.0448622106846865
hsa-miR-129-5p,0.954930492079766,1.0,1.0,12,1352,0.008875739644970414,355,26380,0.013457164518574679,0.6595549629135761
hsa-miR-1290,0.9995565991019322,1.0,1.0,23,1352,0.017011834319526627,810,26380,0.03070507960576194,0.5540397399371758
hsa-miR-1291,0.5526364361589247,1.0,1.0,3,1352,0.0022189349112426036,56,26380,0.0021228203184230476,1.0452768385460693
hsa-miR-1292-5p,0.999883814819629,1.0,1.0,11,1352,0.008136094674556213,525,26380,0.01990144048521607,0.4088193857424627
hsa-miR-1293,0.9984312187844453,1.0,1.0,9,1352,0.006656804733727811,391,26380,0.014821834723275208,0.4491215060760605
hsa-miR-1294,0.05125094768764216,1.0,1.0,1,1352,0.0007396449704142012,1,26380,3.7907505686125855e-05,19.511834319526624
hsa-miR-1295a,0.7716799673203572,1.0,1.0,2,1352,0.0014792899408284023,54,26380,0.002047005307050796,0.7226605303528381
hsa-miR-1296-3p,0.9068944059875921,1.0,1.0,3,1352,0.0022189349112426036,104,26380,0.003942380591357089,0.5628413746017297
hsa-miR-1296-5p,0.9999996514930442,1.0,1.0,41,1352,0.030325443786982247,1536,26380,0.05822592873388931,0.5208237025394478
hsa-miR-1297,0.7961586776931414,1.0,1.0,12,1352,0.008875739644970414,285,26380,0.010803639120545869,0.8215509187169105
hsa-miR-1298-5p,0.945579648728796,1.0,1.0,10,1352,0.0073964497041420114,299,26380,0.01133434420015163,0.6525697096831647
hsa-miR-1299,0.9880432164181061,1.0,1.0,12,1352,0.008875739644970414,406,26380,0.015390447308567097,0.5767044626461072
hsa-miR-1301-3p,0.9999999920639501,1.0,1.0,123,1352,0.09097633136094675,3690,26380,0.13987869598180439,0.6503944773175544
hsa-miR-1302,0.9674174414348927,1.0,1.0,1,1352,0.0007396449704142012,65,26380,0.0024639878695981803,0.3001820664542558
hsa-miR-1303,0.930049291893807,1.0,1.0,18,1352,0.013313609467455622,475,26380,0.01800606520090978,0.7393958268452195
hsa-miR-1304-3p,0.9999999857559028,1.0,1.0,29,1352,0.021449704142011833,1313,26380,0.049772554965883245,0.4309544518402682
hsa-miR-1304-5p,0.8985941675382438,1.0,1.0,9,1352,0.006656804733727811,250,26380,0.009476876421531463,0.7024260355029586
hsa-miR-1305,0.34237291050635843,1.0,1.0,7,1352,0.005177514792899409,111,26380,0.00420773313115997,1.230476038168346
hsa-miR-1306-3p,0.933438364106543,1.0,1.0,3,1352,0.0022189349112426036,113,26380,0.004283548142532221,0.5180133005184061
hsa-miR-1306-5p,0.8636693266602584,1.0,1.0,7,1352,0.005177514792899409,191,26380,0.007240333586050038,0.715093404380557
hsa-miR-1307-3p,0.9997535309698579,1.0,1.0,14,1352,0.010355029585798817,589,26380,0.02232752084912813,0.46377874443696565
hsa-miR-1307-5p,0.9994402837068012,1.0,1.0,11,1352,0.008136094674556213,479,26380,0.018157695223654284,0.4480797025361021
hsa-miR-130a-3p,0.8103396846190929,1.0,1.0,267,1352,0.19748520710059173,5449,26380,0.20655799848369977,0.9560763008466893
hsa-miR-130a-5p,0.5356428432309186,1.0,1.0,8,1352,0.005917159763313609,154,26380,0.005837755875663381,1.013601782832552
hsa-miR-130b-3p,0.9995053004090292,1.0,1.0,280,1352,0.20710059171597633,6426,26380,0.24359363153904473,0.850188859238633
hsa-miR-130b-5p,0.9999999698019331,1.0,1.0,43,1352,0.031804733727810654,1673,26380,0.06341925701288856,0.5014996268617125
hsa-miR-132-3p,0.9999904144405691,1.0,1.0,112,1352,0.08284023668639054,3096,26380,0.11736163760424564,0.7058544715074232
hsa-miR-132-5p,0.7929905245049358,1.0,1.0,15,1352,0.011094674556213017,349,26380,0.013229719484457923,0.8386175208965598
hsa-miR-1323,0.8896282683437083,1.0,1.0,2,1352,0.0014792899408284023,72,26380,0.0027293404094010615,0.5419953977646285
hsa-miR-133a-3p,0.905024412046386,1.0,1.0,69,1352,0.05103550295857988,1550,26380,0.05875663381349507,0.8685913342240885
hsa-miR-133a-5p,0.9432983470789332,1.0,1.0,9,1352,0.006656804733727811,273,26380,0.010348749052312358,0.6432472852591196
hsa-miR-133b,0.6209277405122355,1.0,1.0,45,1352,0.03328402366863906,910,26380,0.03449583017437453,0.9648709278886795
